Statistical profiling result from noconsolelog-v8.log, (3876 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     81    2.1%   14.1%  __write
     34    0.9%    5.9%  __libc_read
     19    0.5%    3.3%  epoll_pwait
     18    0.5%    3.1%  fwrite
     16    0.4%    2.8%  __pthread_cond_wait
     13    0.3%    2.3%  __GI___pthread_mutex_unlock
     12    0.3%    2.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     12    0.3%    2.1%  __mprotect
     10    0.3%    1.7%  __libc_malloc
      8    0.2%    1.4%  _IO_file_xsputn
      7    0.2%    1.2%  __lll_lock_wait
      3    0.1%    0.5%  syscall
      3    0.1%    0.5%  std::ostream::sentry::sentry(std::ostream&)
      3    0.1%    0.5%  cfree
      3    0.1%    0.5%  __pthread_cond_signal
      3    0.1%    0.5%  __mmap
      2    0.1%    0.3%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      2    0.1%    0.3%  operator delete(void*)
      2    0.1%    0.3%  __GI___pthread_rwlock_wrlock
      1    0.0%    0.2%  std::ostream::put(char)
      1    0.0%    0.2%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.0%    0.2%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.0%    0.2%  operator new(unsigned long)
      1    0.0%    0.2%  operator delete[](void*)
      1    0.0%    0.2%  fflush
      1    0.0%    0.2%  accept4
      1    0.0%    0.2%  __vsnprintf
      1    0.0%    0.2%  __munmap
      1    0.0%    0.2%  __libc_write
      1    0.0%    0.2%  __clock_gettime
      1    0.0%    0.2%  __GI___pthread_rwlock_unlock
      1    0.0%    0.2%  _IO_setb
      1    0.0%    0.2%  _IO_padn
      1    0.0%    0.2%  _IO_file_sync
      1    0.0%    0.2%  _IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
    297    7.7%   51.7%  JavaScript
    267    6.9%   46.5%  C++
    136    3.5%   23.7%  GC
   3302   85.2%          Shared libraries
     10    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     51   36.4%    1.3%  __write
     16   11.4%    0.4%  fwrite
     12    8.6%    0.3%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     10    7.1%    0.3%  __mprotect
      8    5.7%    0.2%  __libc_malloc
      8    5.7%    0.2%  _IO_file_xsputn
      5    3.6%    0.1%  __GI___pthread_mutex_unlock
      3    2.1%    0.1%  syscall
      3    2.1%    0.1%  std::ostream::sentry::sentry(std::ostream&)
      2    1.4%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      2    1.4%    0.1%  operator delete(void*)
      2    1.4%    0.1%  cfree
      2    1.4%    0.1%  __lll_lock_wait
      2    1.4%    0.1%  __GI___pthread_rwlock_wrlock
      1    0.7%    0.0%  std::ostream::put(char)
      1    0.7%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.7%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.7%    0.0%  operator new(unsigned long)
      1    0.7%    0.0%  operator delete[](void*)
      1    0.7%    0.0%  fflush
      1    0.7%    0.0%  __vsnprintf
      1    0.7%    0.0%  __pthread_cond_signal
      1    0.7%    0.0%  __libc_write
      1    0.7%    0.0%  __GI___pthread_rwlock_unlock
      1    0.7%    0.0%  _IO_setb
      1    0.7%    0.0%  _IO_padn
      1    0.7%    0.0%  _IO_file_sync
      1    0.7%    0.0%  _IO_default_xsputn

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3186   82.2%  /usr/local/bin/node
   1994   62.6%    /usr/local/bin/node
    442   22.2%      Function: ^compileFunction node:vm:308:25
    440   99.5%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    439   99.8%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
    432   98.4%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      7    1.6%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
    226   11.3%      Function: ^moduleStrategy node:internal/modules/esm/translators:112:56
    226  100.0%        Function: ^moduleProvider node:internal/modules/esm/loader:322:28
    226  100.0%          /usr/local/bin/node
     82    4.1%      /usr/local/bin/node
      7    8.5%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      6   85.7%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      5   83.3%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   16.7%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1   14.3%          Function: ^resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      5    6.1%        Function: ^pipe /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/send/index.js:506:43
      5  100.0%          Function: ^serveStatic /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/serve-static/index.js:72:31
      4   80.0%            LazyCompile: *trim_prefix /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:293:23
      1   20.0%            Function: ^handle /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/layer.js:86:49
      5    6.1%        Function: ^FastBuffer node:internal/buffer:958:14
      5  100.0%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      3   60.0%            Function: ^allocUnsafeSlow node:buffer:383:50
      1   20.0%            Function: ^createPool node:buffer:151:20
      1   20.0%            Function: ^allocate node:buffer:398:18
      4    4.9%        Function: ^escapeExpression /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
      4  100.0%          Function: ^<anonymous> :1:20
      4  100.0%            Function: ^main /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
      3    3.7%        Function: ^expressInit /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/middleware/init.js:29:30
      2   66.7%          Function: ^handle /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/layer.js:86:49
      2  100.0%            Function: ^trim_prefix /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:293:23
      1   33.3%          LazyCompile: *trim_prefix /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:293:23
      1  100.0%            LazyCompile: *next /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:177:16
      2    2.4%        LazyCompile: ~isIPv6 node:internal/net:35:16
      2  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1   50.0%            LazyCompile: ~lookupAndConnect node:net:1017:26
      1   50.0%            LazyCompile: ~lookup node:dns:97:16
      2    2.4%        LazyCompile: ~Schema.path /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/mongoose/lib/schema.js:831:33
      2  100.0%          LazyCompile: ~Document.$__setSchema /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/mongoose/lib/document.js:3393:43
      2  100.0%            LazyCompile: ~compile /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/mongoose/lib/model.js:4898:33
      2    2.4%        LazyCompile: *next /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:177:16
      1   50.0%          Function: ^compression /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/compression/index.js:59:31
      1  100.0%            Function: ^handle /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/layer.js:86:49
      1   50.0%          Function: ^<anonymous> file:///home/cocolizo/Desktop/Backend/Coderhouse-Backend/16%20-%20Loggers,%20gzip,%20y%20analisis%20de%20performance/src/server.js:160:11
      1  100.0%            LazyCompile: *trim_prefix /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/index.js:293:23
      2    2.4%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2    2.4%        Function: ^strEscape /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/safe-stable-stringify/index.js:55:20
